,TRAVEL_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,total_score
4,b_b015583,1,20,1,1,1,2,안성팜랜드,6,12.0
7,a_a001105,0,30,3,1,1,1,에버랜드,6,11.0
23,a_a006685,1,30,1,1,3,3,신포국제시장,4,12.0
26,a_a006685,1,30,1,1,3,3,롯데몰 김포공항점,4,9.0
27,a_a006685,1,30,1,1,3,3,신포국제시장,4,12.0
28,a_a002302,1,60,1,2,3,1,신포국제시장,4,11.0
31,a_a002302,1,60,1,2,3,1,인천차이나타운,4,10.0
34,a_a002302,1,60,1,2,3,1,인천아트플랫폼,3,10.0
41,a_a004118,1,30,2,1,1,2,짜장면박물관,2,15.0
44,a_a004118,1,30,2,1,1,2,신포국제시장,4,15.0
45,a_a004118,1,30,2,1,1,2,신포국제시장,4,15.0
47,a_a004118,1,30,2,1,1,2,인천차이나타운,4,13.0
59,a_a004118,1,30,2,1,1,2,소래포구종합어시장,4,13.0
60,a_a004118,1,30,2,1,1,2,빽투더레트로,4,10.0
85,a_a003073,1,30,1,1,3,2,예스파크,8,14.0
88,a_a005594,0,30,1,3,1,3,국립과천과학관,3,15.0
96,a_a006286,0,40,1,1,1,1,평촌중앙공원,1,12.0
98,a_a002832,0,50,1,2,2,1,안성팜랜드,8,15.0
119,a_a008026,1,20,1,1,1,1,실학박물관,2,10.0
127,a_a003335,1,30,2,1,1,1,여의도공원,1,13.0
129,a_a003335,1,30,2,1,1,1,더현대서울,4,12.0
173,a_a018147,1,60,1,2,1,1,시흥갯골생태공원,1,15.0
176,a_a018147,1,60,1,2,1,1,시흥배곧한울공원,1,15.0
182,a_a004399,0,40,1,1,1,3,수원화성,2,12.0
190,a_a001734,1,20,1,1,1,3,월미테마파크,6,15.0
193,a_a001734,1,20,1,1,1,3,현대프리미엄아울렛 송도점,4,15.0
195,a_a001734,1,20,1,1,1,3,인천차이나타운,4,14.0
211,a_a003712,0,40,1,1,1,2,수원화성,2,15.0
217,a_a003712,0,40,1,1,1,2,갤러리아백화점 광교점,4,12.0
222,a_a006014,1,60,1,3,1,1,화담숲,1,15.0
226,a_a000550,0,40,2,2,3,1,국립중앙박물관,2,15.0
227,a_a000550,0,40,2,2,3,1,동대문종합시장,4,15.0
232,a_a000550,0,40,2,2,3,1,경복궁,2,15.0
233,a_a000550,0,40,2,2,3,1,더현대서울,4,15.0
255,a_a002019,1,20,2,1,2,1,경의선책거리,4,13.0
258,a_a018087,1,30,1,1,1,2,현대프리미엄아울렛 스페이스원,4,11.0
270,a_a004565,0,20,2,1,1,2,무신사스탠다드 홍대,4,15.0
276,a_a002077,1,20,2,2,2,2,국립고궁박물관,2,15.0
277,a_a002077,1,20,2,2,2,2,반포한강공원,1,15.0
282,a_a001817,1,20,1,1,1,3,종묘,2,15.0
299,a_a003223,0,20,1,1,1,1,남문로데오시장,4,10.0
310,a_a001383,1,30,1,1,1,2,백남준아트센터,3,15.0
314,a_a001383,1,30,1,1,1,2,한국민속촌,6,15.0
320,a_a007699,0,20,3,1,2,1,시흥프리미엄아울렛,4,12.0
349,a_a006061,1,20,1,1,1,1,경복궁,2,13.0
350,a_a006061,1,20,1,1,1,1,북촌한옥마을,7,12.0
370,a_a004208,0,20,1,1,1,1,제로월드 서현직영점,3,15.0
